Feature,Importance
Online boarding,0.3925
Inflight wifi service,0.1931
Type of Travel = Personal Travel,0.1553
Inflight entertainment,0.0498
Checkin service,0.0265
Customer Type = disloyal Customer,0.0235
Class = Business,0.022
Customer Type = Loyal Customer,0.0202
Gate location,0.0195
Inflight service,0.0132
Seat comfort,0.0127
Baggage handling,0.0123
Age,0.0115
Flight Distance,0.0089
Leg room service,0.0076
Cleanliness,0.0075
Arrival Delay in Minutes,0.0052
On-board service,0.0052
Type of Travel = Business travel,0.004
Departure Delay in Minutes,0.0026
Departure/Arrival time convenient,0.0022
Food and drink,0.002
Ease of Online booking,0.0015
Gender = Female,0.0003
Class = Eco,0.0003
Gender = Male,0.0002
Class = Eco Plus,0.0002
