Feature,Importance
Online boarding,0.1738
Inflight wifi service,0.1353
Class = Business,0.0748
Type of Travel = Personal Travel,0.0672
Inflight entertainment,0.0606
Type of Travel = Business travel,0.0474
Seat comfort,0.0401
Ease of Online booking,0.0367
Class = Eco,0.0333
Leg room service,0.0313
Flight Distance,0.0308
Age,0.0291
On-board service,0.0268
Customer Type = disloyal Customer,0.0260
Checkin service,0.0251
Baggage handling,0.0241
Customer Type = Loyal Customer,0.0237
Inflight service,0.0231
Cleanliness,0.0230
Gate location,0.0146
Departure/Arrival time convenient,0.0139
Arrival Delay in Minutes,0.0115
Departure Delay in Minutes,0.0103
Food and drink,0.0097
Gender = Male,0.0028
Gender = Female,0.0027
Class = Eco Plus,0.0024
